Name,Overall,Potential,Value,Wage,AbilityScore,CostScore,Cluster
Z. Zidane,68,72,300000.0,26000.0,70.0,163000.0,3
J. Kimmich,89,90,90000000.0,220000.0,89.5,45110000.0,2
R. Cherki,82,80,0.0,0.0,81.0,0.0,1
 L. Suárez,92,92,83000000.0,525000.0,92.0,41762500.0,2
 R. Nainggolan,86,86,37500000.0,130000.0,86.0,18815000.0,2
 A. Vidal,87,87,41500000.0,180000.0,87.0,20840000.0,2
 D. Alaba,86,89,41500000.0,140000.0,87.5,20820000.0,2
 P. Pogba,88,94,71500000.0,225000.0,91.0,35862500.0,2
 G. Bale,90,90,72000000.0,375000.0,90.0,36187500.0,2
 A. Florenzi,82,85,20500000.0,70000.0,83.5,10285000.0,2
 L. Baines,83,83,14500000.0,100000.0,83.0,7300000.0,1
 L. Modrić,89,89,54000000.0,325000.0,89.0,27162500.0,2
 Cristiano Ronaldo,94,94,87000000.0,575000.0,94.0,43787500.0,2
 C. Marchisio,86,86,35000000.0,190000.0,86.0,17595000.0,2
 D. Srna,81,81,4800000.0,2000.0,81.0,2401000.0,1
 Jordi Alba,86,86,31500000.0,225000.0,86.0,15862500.0,2
 Dani Alves,84,84,12500000.0,140000.0,84.0,6320000.0,1
 João Moutinho,82,82,18500000.0,70000.0,82.0,9285000.0,2
 Ander Herrera,84,84,29500000.0,170000.0,84.0,14835000.0,2
 R. Rodríguez,80,83,15500000.0,60000.0,81.5,7780000.0,2
 G. Bonaventura,83,83,24000000.0,70000.0,83.0,12035000.0,2
 Marcelo,86,86,30000000.0,250000.0,86.0,15125000.0,2
 M. Sanson,81,87,20000000.0,40000.0,84.0,10020000.0,2
 C. Tolisso,81,88,23500000.0,40000.0,84.5,11770000.0,2
 C. Erkin,77,77,5500000.0,60000.0,77.0,2780000.0,1
 Y. Touré,84,84,18000000.0,190000.0,84.0,9095000.0,2
 A. Valencia,82,82,14000000.0,120000.0,82.0,7060000.0,1
 J. Henderson,82,84,20000000.0,110000.0,83.0,10055000.0,2
 C. Noboa,80,80,11500000.0,50000.0,80.0,5775000.0,1
